track,html_css_js,scikitlearn,git,odoo,powerbi,numpypandas,cisco_packet_tracer,unity,mysql,blender,arduinoraspberrypi,mongodb,large_dataset_appeal,health_app_contribution,team_role_excitement,game_career_preference,health_app_contribution2,preferred_concepts,interactive_3d_animations,network_infrastructure,intelligent_techniques,ecommerce_and_bi,ml_models,advanced_data_structures,database_project,software_testing,scm_crm_bi_systems,healthcare_standards,lowlevel_3d_graphics,software_project,network_infrastructure2,microcontroller_programming,business_requirements_analysis,efficient_algorithms,system_security_reliability,system_integration,fullstack_web_developer,data_engineer,network_administrator,animator_3d,bi_consultant,healthcare_info_systems,it_project_manager,ml_engineer
MM - Multimedia Systems,1,1,2,1,1,2,2,4,2,3,1,2,Designing the database schema and infrastructure to store the data,Ensuring compliance with healthcare information standards requirements,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,Learn about organization IT infrastructure and how to manage it.,4,1,2,1,2,3,2,4,1,1,4,2,1,1,2,1,1,1,2,2,1,3,1,1,3,2
EB - Electronic Business Systems,2,2,2,3,2,2,2,3,2,2,3,3,Developing predictive models to forecast customer behavior,Developing data analytics and predictive models,Analyzing complex datasets to uncover meaningful insights and patterns,Game QA tester,Ensuring that application is secured and safe from cyber threats,Learn about organization IT infrastructure and how to manage it.,4,3,3,4,2,2,3,3,3,3,3,2,2,2,3,2,2,3,2,2,2,3,3,3,3,2
MS - Management Information Systems,2,4,3,4,4,4,4,4,3,2,4,3,Developing predictive models to forecast customer behavior,Ensuring compliance with healthcare information standards requirements,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Ensuring compliance with healthcare information standards requirements,Learn about organization IT infrastructure and how to manage it.,1,2,4,4,2,2,2,3,3,1,2,2,2,3,4,4,4,4,1,2,2,1,3,1,4,2
MM - Multimedia Systems,2,1,2,1,1,2,2,4,2,4,1,1,Designing the database schema and infrastructure to store the data,Ensuring compliance with healthcare information standards requirements,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Ensuring that application is secured and safe from cyber threats,Learn about organization IT infrastructure and how to manage it.,4,3,3,3,2,3,1,1,1,1,3,1,2,2,1,1,1,1,2,2,2,4,1,1,1,1
MM - Multimedia Systems,2,1,3,2,1,4,3,4,3,4,3,2,Developing predictive models to forecast customer behavior,Ensuring compliance with healthcare information standards requirements,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Ensuring compliance with healthcare information standards requirements,"Learn about SCM, CRM, and decision support system and business intelligent (BI) systems.",4,3,4,4,2,3,2,4,4,3,4,2,1,3,4,3,2,2,3,2,1,4,3,3,4,3
HT - Health Information Technology,2,2,2,2,2,2,2,2,2,2,2,2,Designing the database schema and infrastructure to store the data,Ensuring compliance with healthcare information standards requirements,Evaluating the system architecture and identifying potential vulnerabilities,3D animator/modeller,Ensuring compliance with healthcare information standards requirements,Learn about organization IT infrastructure and how to manage it.,4,3,3,2,2,2,2,3,2,2,4,2,2,2,2,2,2,2,1,3,2,3,1,4,1,2
MM - Multimedia Systems,2,1,4,1,1,1,1,4,4,4,1,1,Developing predictive models to forecast customer behavior,Developing data analytics and predictive models,Evaluating the system architecture and identifying potential vulnerabilities,3D animator/modeller,Ensuring that application is secured and safe from cyber threats,Learn about organization IT infrastructure and how to manage it.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,1,1,4,4,4,4,4,4
DB - Database and Intelligent System,2,1,1,4,2,3,1,1,4,4,4,4,Developing predictive models to forecast customer behavior,Developing data analytics and predictive models,Analyzing complex datasets to uncover meaningful insights and patterns,3D animator/modeller,Designing the database schema and infrastructure to store the data,"Learn about SCM, CRM, and decision support system and business intelligent (BI) systems.",4,1,2,2,2,3,4,1,2,2,4,2,1,1,2,1,1,3,1,3,1,4,2,3,3,1
SE - Software Engineering,3,1,1,1,1,3,2,2,4,1,1,1,Designing the database schema and infrastructure to store the data,Ensuring compliance with healthcare information standards requirements,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Developing data analytics and predictive models,"Learn about SCM, CRM, and decision support system and business intelligent (BI) systems.",1,1,1,4,1,4,4,4,4,1,1,4,1,1,4,4,4,4,2,3,1,1,4,1,4,1
CS - Computer Science,3,3,3,2,2,3,2,3,3,3,3,3,Developing predictive models to forecast customer behavior,Developing data analytics and predictive models,Coding the core software components and optimizing their performance,3D animator/modeller,Developing software components according the requirements,"Learn about SCM, CRM, and decision support system and business intelligent (BI) systems.",3,3,3,2,4,4,3,3,2,1,2,2,2,2,3,3,2,1,2,3,2,3,2,1,3,3
DB - Database and Intelligent System,3,1,2,3,4,3,1,2,4,2,1,4,Developing predictive models to forecast customer behavior,Developing data analytics and predictive models,Analyzing complex datasets to uncover meaningful insights and patterns,Business Analyst,Designing the database schema and infrastructure to store the data,"Learn about SCM, CRM, and decision support system and business intelligent (BI) systems.",3,3,3,4,4,4,4,4,4,1,1,3,2,1,4,3,3,4,1,4,1,4,4,1,4,3
MM - Multimedia Systems,3,2,2,2,2,3,3,4,3,4,3,2,Developing predictive models to forecast customer behavior,Developing data analytics and predictive models,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Developing data analytics and predictive models,"Learn about SCM, CRM, and decision support system and business intelligent (BI) systems.",4,3,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
DB - Database and Intelligent System,3,1,2,2,3,3,2,1,3,4,3,3,Designing the database schema and infrastructure to store the data,Developing data analytics and predictive models,"Managing the project timeline, requirements, and stakeholder communication",Business Analyst,Ensuring that application is secured and safe from cyber threats,"Learn about SCM, CRM, and decision support system and business intelligent (BI) systems.",4,3,4,2,3,4,3,4,3,3,2,4,3,2,3,2,3,3,1,2,2,3,3,3,4,1
MM - Multimedia Systems,3,1,2,1,1,2,2,4,3,4,1,3,Developing predictive models to forecast customer behavior,Ensuring compliance with healthcare information standards requirements,Evaluating the system architecture and identifying potential vulnerabilities,3D animator/modeller,Developing software components according the requirements,"Learn about SCM, CRM, and decision support system and business intelligent (BI) systems.",4,2,3,1,3,3,2,2,1,1,4,3,2,2,3,3,2,2,3,2,1,4,2,2,3,4
SE - Software Engineering,3,2,4,3,3,3,2,3,4,1,1,2,Developing predictive models to forecast customer behavior,Developing data analytics and predictive models,"Managing the project timeline, requirements, and stakeholder communication",Game QA tester,Ensuring compliance with healthcare information standards requirements,"Learn about SCM, CRM, and decision support system and business intelligent (BI) systems.",1,2,4,4,3,2,3,4,3,2,1,3,1,1,4,1,2,3,1,1,1,1,2,2,3,2
CS - Computer Science,3,3,3,2,2,3,1,1,4,2,2,4,Developing predictive models to forecast customer behavior,Developing data analytics and predictive models,Coding the core software components and optimizing their performance,Game QA tester,Developing data analytics and predictive models,Learn about organization IT infrastructure and how to manage it.,2,2,3,3,4,4,4,4,3,2,2,3,1,3,4,4,2,3,4,4,1,2,2,2,3,4
