track,scikitlearn,powerbi,unity,mysql,blender,mongodb,team_role_excitement,interactive_3d_animations,intelligent_techniques,ml_models,database_project,software_testing,scm_crm_bi_systems,lowlevel_3d_graphics,software_project,business_requirements_analysis,efficient_algorithms,system_integration,fullstack_web_developer,data_engineer,animator_3d,bi_consultant,it_project_manager,ml_engineer
DB - Database and Intelligent System,2,4,2,4,4,4,Analyzing complex datasets to uncover meaningful insights and patterns,4,3,3,4,2,3,3,3,3,3,3,4,3,2,3,2,2
MM - Multimedia Systems,1,1,3,1,4,1,"Managing the project timeline, requirements, and stakeholder communication",4,2,4,2,3,3,4,2,4,2,2,1,1,4,4,3,1
CS - Computer Science,3,1,4,3,4,3,Coding the core software components and optimizing their performance,3,4,3,3,3,4,4,2,3,3,3,4,3,4,3,2,3
SE - Software Engineering,2,2,1,3,2,3,"Managing the project timeline, requirements, and stakeholder communication",3,3,3,3,3,4,1,3,4,2,4,2,3,1,4,4,1
MM - Multimedia Systems,1,1,4,2,3,2,Coding the core software components and optimizing their performance,4,2,2,2,4,1,4,2,2,1,1,2,2,3,1,3,2
DB - Database and Intelligent System,1,4,3,4,2,4,Analyzing complex datasets to uncover meaningful insights and patterns,3,4,3,4,3,3,3,4,4,4,4,3,4,2,2,3,4
SE - Software Engineering,1,1,2,4,1,1,"Managing the project timeline, requirements, and stakeholder communication",1,1,1,4,4,4,1,4,4,4,4,2,3,1,4,4,1
SE - Software Engineering,1,2,3,4,3,3,Evaluating the system architecture and identifying potential vulnerabilities,3,3,2,2,4,2,2,4,4,3,4,3,4,2,2,4,4
CS - Computer Science,2,2,2,4,3,2,"Managing the project timeline, requirements, and stakeholder communication",3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
CS - Computer Science,4,1,1,3,1,2,Coding the core software components and optimizing their performance,2,2,3,3,3,1,1,2,1,2,2,3,3,2,1,1,4
DB - Database and Intelligent System,4,4,1,4,1,4,Analyzing complex datasets to uncover meaningful insights and patterns,1,4,4,3,1,3,1,3,3,2,4,1,4,1,3,2,4
CS - Computer Science,3,2,3,3,3,3,Coding the core software components and optimizing their performance,3,3,4,3,3,2,2,2,3,3,1,2,3,3,2,3,3
